branch,name,state,date,number_systems_tested,number_above_EPA_LHA,results_raw,actions_as_of_August_31_2017,planned_actions_to_reduce,purveyor,on_or_off_base,results,analyte
Army,81ST RSC: E. EARLE RIVES AFRC,North Carolina,2017,1,1,<40-90,PFOS per 2014 Consumer Confidence Report. The results reported were the range of PFOS/PFOA added together. The public water system did not report exceedances due to compliance averaging of all test results.,,non-DOD,on,90.0,
Navy - BRAC,AGANA,Guam,2017,12,5,88 - 410,Sampling conducted by Guam Waterworks Authority. Wells are treated with GAC.,,non-DOD,off,410.0,
Air Force - ANG,BARNES MUNICIPAL,Massachusetts,2017,1,1,43-160 ppt (PFOS+PFOA),"Base obtains water from Westfield Water Dept. UCMR sampling indicated two DW system wells were elevated in 2013, and they have been removed from service. The Westfield Water Dept is in the process of addressing the two DW wells with elevated levels.","Water sources will continue to be sampled for PFOA and PFOS. DW Wells #7 and #8 are not being used due to higher levels of PFOS and PFOA. Possible future treatment options are being investigated. Prior to any DW well (i.e. #1; #7; #8) being returned to use in a non-emergency situation, public notice will be provided, which will include additional sample results for PFOA, PFOS and similar chemicals and an explanation of treatment or other actions taken to support the return of the DW well(s) to service.",non-DOD,on,160.0,PFOA+PFOS
Navy,BARROW AK NARL,Alaska,2017,5,5,144 - 262,*Surface water (Imikpuk Lake) sampled; serves as intermittent water source for hunters and village elders.,Continue investigation,non-DOD,off,262.0,
Army,BELMONT ARMORY,Michigan,2017,1,1,86-96.8,MIARNG spoke with potential responsible party (PRP) representative about filter systems and long term maintenance. Bottled water has been supplied to armory personnel by MIARNG and PRP.,"MIARNG is waiting for response from PRP, exploring filter system options, and working with state agencies toward resolution.",DOD,on,96.8,
Air Force - ANG,BIDDLE ANGB FORMERLY HORSHAM/WILLOW GROVE ANG,Pennsylvania,2017,2,2,82-1870 ppt (PFOS+PFOA),Public Wells: Seven (7) impacted DW wells taken offline. Carbon filtration under design/construction for all seven. Municipalities purchasing make up water from neighboring suppliers. Private Wells: Bottled water delivery by ANG until municipal connect complete.,Public Wells: Carbon filtration construction completion and potability permits expected Summer 2018. Private Wells: Water connections expected to be complete Spring 2018.,non-DOD,off,1870.0,PFOA+PFOS
Army,CAMP CARROLL,South Korea,2017,1,1,"PFOA + PFOS combined = 76- 1,066","Initial, confirmatory and subsequent sampling conducted at multiple wells (Nov 16-Feb 17). Individual system wells with results above the LHA taken off line; currently providing water from wells that have test results below the LHA. USACE contract awarded 20 Mar 17 to install GAC treatment. Consumer notification conducted 07 Mar 17. Implemented recurring sampling/analysis.",Completion of installation GAC treatment system(s),DOD,on,1066.0,PFOA+PFOS
Army,CAMP WALKER,South Korea,2017,1,1,PFOA + PFOS combined = 91- 789,"Initial, confirmatory and subsequent sampling conducted at multiple wells (Nov 16-Feb 17). System wells with results above the LHA taken off line; currently providing water from local municipality (test results below LHA - PFOA + PFOS combined = 10). USACE contract awarded 20 Mar 17 to install GAC treatment. Consumer notification conducted 07 Mar 17. Implemented recurring sampling/analysis.",Completion of installation GAC treatment system(s),DOD,on,789.0,PFOA+PFOS
Air Force - ACTIVE,DOVER AFB,Delaware,2017,1,0,91 ppt (PFOS + PFOA),Installed whole-house activated carbon filtration system at one residence as a permanent solution.,Sampling and analysis to verify filtration system is working as intended; filter changes as needed.,non-DOD,off,91.0,PFOA+PFOS
Air Force - ACTIVE,EIELSON AFB,Alaska,2017,0,0,83 - 2222 ppt (PFOS+PFOA),"Installed 163 water systems (remaining six are due to owner delays) to include: 96 water tank (2,000 gal) delivery systems , 65 granulated activated carbon (GAC) systems, 2 water carboy (5-gal) delivery systems.","Complete Interim Proposed Plan to determine final remedy for a long-term drinking water supply for the community of Moose Creek, AK, by Nov 2017. Preferred Alternative anticipated to be connection to the City of North Pole water system. Final Record of Decision to be completed by Aug 2018. Implementation of selected remedy programmed for FY19.",non-DOD,off,2222.0,PFOA+PFOS
Army,EL CAMPO,Texas,2017,1,1,79,Well is designated as non-potable. Bottled water is being provided for an alternate drinking water supply. A Granular Activated Carbon Filter System installed and confirmation sampling conducted in August 2017.,"Additional sampling will be conducted in November 2017 and February 2018 to determine if filtration system is reducing drinking water below the LHA. If sampling results determine the water source is below the LHA, bottled water usage will be discontinued and the water well reestablished as potable.",DOD,on,79.0,
Air Force - ACTIVE,ELLSWORTH AFB,South Dakota,2017,0,0,182 ppt,"Alternate DW water source provided in January 2017. Two properties, sharing one (1) private DW well, were connected to the existing Base-operated potable waterline. The waterline has provided alternate water since the 1990s to other off-base residents affected by trichloroethene contamination.",Response provided as of 31 August 2017 is the permanent/final mitigation solution.,non-DOD,off,182.0,PFOA+PFOS
Army,EWVRA SHEPHERD FIELD,West Virginia,2017,1,1,0-79/0-71,"The results reported were the range of PFOS/PFOA in 2014, and the public water system is not reporting exceedances to users due to compliance averaging of all test results.",,non-DOD,on,79.0,
Air Force - ACTIVE,FAIRCHILD AFB,Washington,2017,2,1,75-5700 ppt (PFOS+PFOA),Public DW water system taken off line. Bottled water provided to all private residences with DW wells above LHA.,Negotiate MOU with local municipality; potentially install GAC filtration on public DW water system; ECD - to be determined. Install whole house filtration systems in residences with affected private DW wells; ECD Jan 2018.,non-DOD,off,5700.0,PFOA+PFOS
Army,FORT HUNTER LIGGETT,California,2017,1,1,PFOS = 120,Initial & confirmatory sampling conducted throughout the water system (Nov 16-Feb 17). One well at Fort Hunter Liggett exceeded the LHA for PFOS and has been taken offline. Garrison anticipates having enough volume with 3 operational wells & presumes no need to move forward with additional mitigation and/or GAC treatment for drinking water. Consumer notification conducted 02 Mar 17. Implemented recurring sampling/analysis.,Preliminary Assessment (PA) and/or Site Inspection (SI) - Q1 FY18,DOD,on,120.0,PFOS
Air Force - ANG,FRANCIS S. GABRESKI,New York,2017,1,1,ND-530 ppt (PFOS+PFOA),Base purchases DW water from Suffolk County. The County took action by blending and taking DW wells out of service. The County is currently installing GAC filters.,Continue quarterly samples.,non-DOD,on,530.0,PFOA+PFOS
Army,FT. LEAVENWORTH,Kansas,2017,1,1,PFOA + PFOS combined = 97-649,"American Water owns this system with the wells located on Army property. Two of the system wells were above the LHA and taken off-line. The consumer notification was conducted 06 Mar 17. The remaining wells support the installation current water needs. Army is exploring future options, that includes finding another ground water source, adding GAC, or connecting to local municipality.",Contract award to study new source well - late Sep 17. Preliminary Assessment (PA) and/or Site Inspection (SI) - Q1 FY18,non-DOD,on,649.0,PFOA+PFOS
Air Force - ANG,HARRISBURG INTERNATIONAL AIRPORT,Pennsylvania,2017,1,1,20-103 ppt (PFOS+PFOA),During 2014 it was discovered from UCMR3 drinking water sampling activities that PFOS/PFOA was detected above the LHAs. State approved an action plan as follows: affected DW wells removed from service; other DW wells utilized to produce water below the LHAs; monthly sampling.,Actions taken previously. No actions listed on 2016 Consumer Confidence Report,non-DOD,on,103.0,PFOA+PFOS
